code,label,sira
whatsapp_tr_medident,WHATSAPP TR-medident,1
mja_whatsapp_tr,MJA_WHATSAPP_TR,2
mja_whatsapp_de,MJA_WHATSAPP_DE,3
whatsapp_avr,WHATSAPP AVR,4
hasta_referansi,Hasta Referansı,5
facebook_lead,Facebook Lead,6
instagram_dm,Instagram DM,7
google_ads,Google Ads,8
web_formu,Web Formu,9
telefon,Telefon,10
diger,Diğer,99
